index,Year,State,GDP (Chained $)
3008,2012-01-01,New Mexico,286769000.0
3009,2012-01-01,New Mexico,498500000.0
3010,2012-01-01,New Mexico,929506000.0
3011,2012-01-01,New Mexico,321608000.0
3012,2012-01-01,New Mexico,212983000.0
3013,2012-01-01,New Mexico,1169837000.0
3014,2012-01-01,New York,25640674000.0
3015,2012-01-01,New York,1311607000.0
3016,2012-01-01,New York,38259586000.0
3017,2012-01-01,New York,9193135000.0
3018,2012-01-01,New York,2816457000.0
3019,2012-01-01,New York,2543891000.0
3020,2012-01-01,New York,4906208000.0
3021,2012-01-01,New York,3669215000.0
3022,2012-01-01,New York,1838827000.0
3023,2012-01-01,New York,3388495000.0
3024,2012-01-01,New York,2220296000.0
3025,2012-01-01,New York,1714852000.0
3026,2012-01-01,New York,1704487000.0
3027,2012-01-01,New York,12102549000.0
3028,2012-01-01,New York,48700211000.0
3029,2012-01-01,New York,1437435000.0
3030,2012-01-01,New York,1757757000.0
3031,2012-01-01,New York,1676997000.0
3032,2012-01-01,New York,2197700000.0
3033,2012-01-01,New York,2245869000.0
3034,2012-01-01,New York,236686000.0
3035,2012-01-01,New York,1668733000.0
3036,2012-01-01,New York,6592076000.0
3037,2012-01-01,New York,75311244000.0
3038,2012-01-01,New York,903378000.0
3039,2012-01-01,New York,1932322000.0
3040,2012-01-01,New York,2079204000.0
3041,2012-01-01,New York,42356290000.0
3042,2012-01-01,New York,1678968000.0
3043,2012-01-01,New York,82523277000.0
3044,2012-01-01,New York,544566000000.0
3045,2012-01-01,New York,8555505000.0
3046,2012-01-01,New York,10097427000.0
3047,2012-01-01,New York,26390358000.0
3048,2012-01-01,New York,4881835000.0
3049,2012-01-01,New York,14246747000.0
3050,2012-01-01,New York,1286718000.0
3051,2012-01-01,New York,5790412000.0
3052,2012-01-01,New York,2240342000.0
3053,2012-01-01,New York,2963055000.0
3054,2012-01-01,New York,80738641000.0
3055,2012-01-01,New York,5890109000.0
3056,2012-01-01,New York,12694907000.0
3057,2012-01-01,New York,17764441000.0
3058,2012-01-01,New York,4147257000.0
3059,2012-01-01,New York,8987308000.0
3060,2012-01-01,New York,7436111000.0
3061,2012-01-01,New York,861353000.0
3062,2012-01-01,New York,551634000.0
3063,2012-01-01,New York,1275893000.0
3064,2012-01-01,New York,3948376000.0
3065,2012-01-01,New York,78005989000.0
3066,2012-01-01,New York,2471532000.0
3067,2012-01-01,New York,1520819000.0
3068,2012-01-01,New York,5380922000.0
3069,2012-01-01,New York,6087168000.0
3070,2012-01-01,New York,3439466000.0
3071,2012-01-01,New York,1725124000.0
3072,2012-01-01,New York,3374806000.0
3073,2012-01-01,New York,68237898000.0
3074,2012-01-01,New York,1523641000.0
3075,2012-01-01,New York,757977000.0
3076,2012-01-01,North Carolina,5164078000.0
3077,2012-01-01,North Carolina,686998000.0
3078,2012-01-01,North Carolina,288230000.0
3079,2012-01-01,North Carolina,703269000.0
3080,2012-01-01,North Carolina,676983000.0
