Order Full Date Description;Order Date Key;Order Year;Order Season;Order Semester;Order Month Number Year;Order Week Number Year;Order Day Number Month;Order Day Number Week;Order Day Name Week;HolidayKey;HolidayIndicator;WeekendIndicator
41664;734;2014;Winter;1;1;4;25;6;sábado;No Key;Non-Holiday;Weekend
41665;735;2014;Winter;1;1;5;26;7;domingo;No Key;Non-Holiday;Weekend
41666;736;2014;Winter;1;1;5;27;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41667;737;2014;Winter;1;1;5;28;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41668;738;2014;Winter;1;1;5;29;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41669;739;2014;Winter;1;1;5;30;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41670;740;2014;Winter;1;1;5;31;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41671;741;2014;Winter;1;2;5;1;6;sábado;No Key;Non-Holiday;Weekend
41672;742;2014;Winter;1;2;6;2;7;domingo;No Key;Non-Holiday;Weekend
41673;743;2014;Winter;1;2;6;3;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41674;744;2014;Winter;1;2;6;4;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41675;745;2014;Winter;1;2;6;5;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41676;746;2014;Winter;1;2;6;6;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41677;747;2014;Winter;1;2;6;7;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41678;748;2014;Winter;1;2;6;8;6;sábado;No Key;Non-Holiday;Weekend
41679;749;2014;Winter;1;2;7;9;7;domingo;No Key;Non-Holiday;Weekend
41680;750;2014;Winter;1;2;7;10;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41681;751;2014;Winter;1;2;7;11;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41682;752;2014;Winter;1;2;7;12;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41683;753;2014;Winter;1;2;7;13;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41684;754;2014;Winter;1;2;7;14;5;sexta-feira;54;Holiday;Non-Weekend
41685;755;2014;Winter;1;2;7;15;6;sábado;No Key;Non-Holiday;Weekend
41686;756;2014;Winter;1;2;8;16;7;domingo;No Key;Non-Holiday;Weekend
41688;757;2014;Winter;1;2;8;18;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41689;758;2014;Winter;1;2;8;19;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41690;759;2014;Winter;1;2;8;20;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41691;760;2014;Winter;1;2;8;21;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41692;761;2014;Winter;1;2;8;22;6;sábado;No Key;Non-Holiday;Weekend
41693;762;2014;Winter;1;2;9;23;7;domingo;No Key;Non-Holiday;Weekend
41695;763;2014;Winter;1;2;9;25;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41696;764;2014;Winter;1;2;9;26;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41697;765;2014;Winter;1;2;9;27;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41698;766;2014;Winter;1;2;9;28;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41699;767;2014;Winter;1;3;9;1;6;sábado;No Key;Non-Holiday;Weekend
41700;768;2014;Winter;1;3;10;2;7;domingo;No Key;Non-Holiday;Weekend
41701;769;2014;Winter;1;3;10;3;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41702;770;2014;Winter;1;3;10;4;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41703;771;2014;Winter;1;3;10;5;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41704;772;2014;Winter;1;3;10;6;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41705;773;2014;Winter;1;3;10;7;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41706;774;2014;Winter;1;3;10;8;6;sábado;No Key;Non-Holiday;Weekend
41707;775;2014;Winter;1;3;11;9;7;domingo;No Key;Non-Holiday;Weekend
41708;776;2014;Winter;1;3;11;10;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41709;777;2014;Winter;1;3;11;11;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41710;778;2014;Winter;1;3;11;12;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41711;779;2014;Winter;1;3;11;13;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41712;780;2014;Winter;1;3;11;14;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41713;781;2014;Winter;1;3;11;15;6;sábado;No Key;Non-Holiday;Weekend
41714;782;2014;Winter;1;3;12;16;7;domingo;No Key;Non-Holiday;Weekend
41715;783;2014;Winter;1;3;12;17;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41716;784;2014;Winter;1;3;12;18;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41717;785;2014;Winter;1;3;12;19;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41718;786;2014;Winter;1;3;12;20;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41719;787;2014;Spring;1;3;12;21;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41720;788;2014;Spring;1;3;12;22;6;sábado;No Key;Non-Holiday;Weekend
41721;789;2014;Spring;1;3;13;23;7;domingo;No Key;Non-Holiday;Weekend
41722;790;2014;Spring;1;3;13;24;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41723;791;2014;Spring;1;3;13;25;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41724;792;2014;Spring;1;3;13;26;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41725;793;2014;Spring;1;3;13;27;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41726;794;2014;Spring;1;3;13;28;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41727;795;2014;Spring;1;3;13;29;6;sábado;No Key;Non-Holiday;Weekend
41728;796;2014;Spring;1;3;14;30;7;domingo;No Key;Non-Holiday;Weekend
41729;797;2014;Spring;1;3;14;31;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41730;798;2014;Spring;1;4;14;1;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41731;799;2014;Spring;1;4;14;2;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41732;800;2014;Spring;1;4;14;3;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41733;801;2014;Spring;1;4;14;4;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41734;802;2014;Spring;1;4;14;5;6;sábado;No Key;Non-Holiday;Weekend
41735;803;2014;Spring;1;4;15;6;7;domingo;No Key;Non-Holiday;Weekend
41736;804;2014;Spring;1;4;15;7;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
